community,month,monthlyav,year,Sani_Q,av_II_Q,FY,desc,actual,max_MGD,max_II_Q
Bedford,Apr,3.6933333333333334,16-18,1.3,2.3933333333333335,FY20,FY20 Actuals,TRUE,3.6933333333333334,2.3933333333333335
Bedford,Aug,1.8533333333333333,16-18,1.3,0.5533333333333332,FY20,FY20 Actuals,TRUE,3.6933333333333334,2.3933333333333335
Bedford,Dec,2.51,16-18,1.3,1.2099999999999997,FY20,FY20 Actuals,TRUE,3.6933333333333334,2.3933333333333335
Bedford,Feb,2.86,16-18,1.3,1.5599999999999998,FY20,FY20 Actuals,TRUE,3.6933333333333334,2.3933333333333335
Bedford,Jan,2.64,16-18,1.3,1.34,FY20,FY20 Actuals,TRUE,3.6933333333333334,2.3933333333333335
Bedford,Jul,1.9633333333333334,16-18,1.3,0.6633333333333333,FY20,FY20 Actuals,TRUE,3.6933333333333334,2.3933333333333335
Bedford,Jun,2.2666666666666666,16-18,1.3,0.9666666666666666,FY20,FY20 Actuals,TRUE,3.6933333333333334,2.3933333333333335
Bedford,Mar,3.2966666666666664,16-18,1.3,1.9966666666666664,FY20,FY20 Actuals,TRUE,3.6933333333333334,2.3933333333333335
Bedford,May,2.8066666666666666,16-18,1.3,1.5066666666666666,FY20,FY20 Actuals,TRUE,3.6933333333333334,2.3933333333333335
Bedford,Nov,2.6066666666666665,16-18,1.3,1.3066666666666664,FY20,FY20 Actuals,TRUE,3.6933333333333334,2.3933333333333335
Bedford,Oct,1.9066666666666667,16-18,1.3,0.6066666666666667,FY20,FY20 Actuals,TRUE,3.6933333333333334,2.3933333333333335
Bedford,Sep,1.8,16-18,1.3,0.5,FY20,FY20 Actuals,TRUE,3.6933333333333334,2.3933333333333335
Belmont,Apr,4.763333333333334,16-18,1.3666666666666667,3.396666666666667,FY20,FY20 Actuals,TRUE,4.763333333333334,3.396666666666667
Belmont,Aug,1.7533333333333332,16-18,1.3666666666666667,0.3866666666666665,FY20,FY20 Actuals,TRUE,4.763333333333334,3.396666666666667
Belmont,Dec,2.7533333333333334,16-18,1.3666666666666667,1.3866666666666667,FY20,FY20 Actuals,TRUE,4.763333333333334,3.396666666666667
Belmont,Feb,3.4066666666666667,16-18,1.3666666666666667,2.04,FY20,FY20 Actuals,TRUE,4.763333333333334,3.396666666666667
Belmont,Jan,3.23,16-18,1.3666666666666667,1.8633333333333333,FY20,FY20 Actuals,TRUE,4.763333333333334,3.396666666666667
Belmont,Jul,1.9,16-18,1.3666666666666667,0.5333333333333332,FY20,FY20 Actuals,TRUE,4.763333333333334,3.396666666666667
Belmont,Jun,2.236666666666667,16-18,1.3666666666666667,0.8700000000000001,FY20,FY20 Actuals,TRUE,4.763333333333334,3.396666666666667
Belmont,Mar,3.9466666666666668,16-18,1.3666666666666667,2.58,FY20,FY20 Actuals,TRUE,4.763333333333334,3.396666666666667
Belmont,May,2.8266666666666667,16-18,1.3666666666666667,1.46,FY20,FY20 Actuals,TRUE,4.763333333333334,3.396666666666667
Belmont,Nov,3.46,16-18,1.3666666666666667,2.0933333333333333,FY20,FY20 Actuals,TRUE,4.763333333333334,3.396666666666667
Belmont,Oct,2.1366666666666667,16-18,1.3666666666666667,0.77,FY20,FY20 Actuals,TRUE,4.763333333333334,3.396666666666667
Belmont,Sep,1.7033333333333331,16-18,1.3666666666666667,0.33666666666666645,FY20,FY20 Actuals,TRUE,4.763333333333334,3.396666666666667
Boston,Apr,110.18333333333334,16-18,58.5,51.68333333333334,FY20,FY20 Actuals,TRUE,110.18333333333334,51.68333333333334
Boston,Aug,78.64,16-18,58.5,20.14,FY20,FY20 Actuals,TRUE,110.18333333333334,51.68333333333334
Boston,Dec,84.06,16-18,58.5,25.560000000000002,FY20,FY20 Actuals,TRUE,110.18333333333334,51.68333333333334
