community,month,monthlyav,year,Sani_Q,II_Q,FY,CY20_meth,actual
Boston,Feb,94.9211111111111,18-20,58.5,36.4211111111111,FY22,3yr ave (2019x2),FALSE
Boston,Jan,101.85111111111111,18-20,58.5,43.35111111111111,FY22,3yr ave (2019x2),FALSE
Boston,Jul,90.43444444444445,18-20,58.5,31.934444444444452,FY22,3yr ave (2019x2),FALSE
Boston,Jun,86.64333333333333,18-20,58.5,28.14333333333333,FY22,3yr ave (2019x2),FALSE
Boston,Mar,106.67555555555556,18-20,58.5,48.17555555555556,FY22,3yr ave (2019x2),FALSE
Boston,May,93.68111111111111,18-20,58.5,35.18111111111111,FY22,3yr ave (2019x2),FALSE
Boston,Nov,112.28222222222222,18-20,58.5,53.78222222222222,FY22,3yr ave (2019x2),FALSE
Boston,Oct,88.25111111111111,18-20,58.5,29.751111111111115,FY22,3yr ave (2019x2),FALSE
Boston,Sep,83.52111111111111,18-20,58.5,25.02111111111111,FY22,3yr ave (2019x2),FALSE
Braintree,Apr,10.432222222222222,18-20,3.2,7.232222222222222,FY22,3yr ave (2019x2),FALSE
Braintree,Aug,4.594444444444445,18-20,3.2,1.3944444444444448,FY22,3yr ave (2019x2),FALSE
Braintree,Dec,9.99,18-20,3.2,6.79,FY22,3yr ave (2019x2),FALSE
Braintree,Feb,9.473333333333333,18-20,3.2,6.2733333333333325,FY22,3yr ave (2019x2),FALSE
Braintree,Jan,9.54888888888889,18-20,3.2,6.348888888888889,FY22,3yr ave (2019x2),FALSE
Braintree,Jul,5.406666666666667,18-20,3.2,2.206666666666667,FY22,3yr ave (2019x2),FALSE
Braintree,Jun,6.195555555555555,18-20,3.2,2.995555555555555,FY22,3yr ave (2019x2),FALSE
Braintree,Mar,11.125555555555556,18-20,3.2,7.9255555555555555,FY22,3yr ave (2019x2),FALSE
Braintree,May,8.178888888888888,18-20,3.2,4.978888888888888,FY22,3yr ave (2019x2),FALSE
Braintree,Nov,10.287777777777778,18-20,3.2,7.087777777777778,FY22,3yr ave (2019x2),FALSE
Braintree,Oct,6.097777777777777,18-20,3.2,2.897777777777777,FY22,3yr ave (2019x2),FALSE
Braintree,Sep,5.053333333333333,18-20,3.2,1.8533333333333326,FY22,3yr ave (2019x2),FALSE
Brookline,Apr,12.608888888888888,18-20,4.2,8.408888888888889,FY22,3yr ave (2019x2),FALSE
Brookline,Aug,6.311111111111111,18-20,4.2,2.1111111111111107,FY22,3yr ave (2019x2),FALSE
Brookline,Dec,10.178888888888888,18-20,4.2,5.978888888888888,FY22,3yr ave (2019x2),FALSE
Brookline,Feb,10.02,18-20,4.2,5.819999999999999,FY22,3yr ave (2019x2),FALSE
Brookline,Jan,9.973333333333334,18-20,4.2,5.773333333333334,FY22,3yr ave (2019x2),FALSE
Brookline,Jul,6.756666666666667,18-20,4.2,2.5566666666666666,FY22,3yr ave (2019x2),FALSE
Brookline,Jun,6.944444444444445,18-20,4.2,2.7444444444444445,FY22,3yr ave (2019x2),FALSE
Brookline,Mar,11.672222222222222,18-20,4.2,7.472222222222222,FY22,3yr ave (2019x2),FALSE
Brookline,May,9.036666666666667,18-20,4.2,4.836666666666667,FY22,3yr ave (2019x2),FALSE
Brookline,Nov,10.982222222222223,18-20,4.2,6.782222222222223,FY22,3yr ave (2019x2),FALSE
Brookline,Oct,6.821111111111112,18-20,4.2,2.6211111111111114,FY22,3yr ave (2019x2),FALSE
Brookline,Sep,6.184444444444445,18-20,4.2,1.9844444444444447,FY22,3yr ave (2019x2),FALSE
Burlington,Apr,5.1066666666666665,18-20,2,3.1066666666666665,FY22,3yr ave (2019x2),FALSE
Burlington,Aug,2.7933333333333334,18-20,2,0.7933333333333334,FY22,3yr ave (2019x2),FALSE
Burlington,Dec,4.357777777777778,18-20,2,2.3577777777777778,FY22,3yr ave (2019x2),FALSE
Burlington,Feb,4.374444444444444,18-20,2,2.3744444444444444,FY22,3yr ave (2019x2),FALSE
Burlington,Jan,3.982222222222222,18-20,2,1.982222222222222,FY22,3yr ave (2019x2),FALSE
Burlington,Jul,3.118888888888889,18-20,2,1.1188888888888888,FY22,3yr ave (2019x2),FALSE
Burlington,Jun,3.411111111111111,18-20,2,1.411111111111111,FY22,3yr ave (2019x2),FALSE
Burlington,Mar,4.858888888888889,18-20,2,2.858888888888889,FY22,3yr ave (2019x2),FALSE
Burlington,May,4.237777777777778,18-20,2,2.2377777777777776,FY22,3yr ave (2019x2),FALSE
Burlington,Nov,4.2444444444444445,18-20,2,2.2444444444444445,FY22,3yr ave (2019x2),FALSE
Burlington,Oct,2.937777777777778,18-20,2,0.9377777777777778,FY22,3yr ave (2019x2),FALSE
Burlington,Sep,2.7533333333333334,18-20,2,0.7533333333333334,FY22,3yr ave (2019x2),FALSE
Cambridge,Apr,20.805555555555554,18-20,11.5,9.305555555555554,FY22,3yr ave (2019x2),FALSE
Cambridge,Aug,19.046666666666667,18-20,11.5,7.546666666666667,FY22,3yr ave (2019x2),FALSE
Cambridge,Dec,19.822222222222223,18-20,11.5,8.322222222222223,FY22,3yr ave (2019x2),FALSE
Cambridge,Feb,17.797777777777778,18-20,11.5,6.297777777777778,FY22,3yr ave (2019x2),FALSE
Cambridge,Jan,17.697777777777777,18-20,11.5,6.197777777777777,FY22,3yr ave (2019x2),FALSE
Cambridge,Jul,19.563333333333333,18-20,11.5,8.063333333333333,FY22,3yr ave (2019x2),FALSE
Cambridge,Jun,18.32111111111111,18-20,11.5,6.821111111111112,FY22,3yr ave (2019x2),FALSE
Cambridge,Mar,19.07,18-20,11.5,7.57,FY22,3yr ave (2019x2),FALSE
Cambridge,May,17.94777777777778,18-20,11.5,6.44777777777778,FY22,3yr ave (2019x2),FALSE
Cambridge,Nov,21.261111111111113,18-20,11.5,9.761111111111113,FY22,3yr ave (2019x2),FALSE
Cambridge,Oct,18.055555555555554,18-20,11.5,6.555555555555554,FY22,3yr ave (2019x2),FALSE
Cambridge,Sep,17.698888888888888,18-20,11.5,6.198888888888888,FY22,3yr ave (2019x2),FALSE
Canton,Apr,4.024444444444445,18-20,1.4,2.624444444444445,FY22,3yr ave (2019x2),FALSE
Canton,Aug,2.2888888888888888,18-20,1.4,0.8888888888888888,FY22,3yr ave (2019x2),FALSE
Canton,Dec,3.5966666666666667,18-20,1.4,2.1966666666666668,FY22,3yr ave (2019x2),FALSE
Canton,Feb,3.5844444444444443,18-20,1.4,2.1844444444444444,FY22,3yr ave (2019x2),FALSE
Canton,Jan,3.732222222222222,18-20,1.4,2.332222222222222,FY22,3yr ave (2019x2),FALSE
Canton,Jul,2.391111111111111,18-20,1.4,0.991111111111111,FY22,3yr ave (2019x2),FALSE
Canton,Jun,2.691111111111111,18-20,1.4,1.2911111111111109,FY22,3yr ave (2019x2),FALSE
Canton,Mar,4.27,18-20,1.4,2.8699999999999997,FY22,3yr ave (2019x2),FALSE
Canton,May,3.3088888888888888,18-20,1.4,1.9088888888888889,FY22,3yr ave (2019x2),FALSE
Canton,Nov,3.772222222222222,18-20,1.4,2.3722222222222222,FY22,3yr ave (2019x2),FALSE
Canton,Oct,2.7233333333333336,18-20,1.4,1.3233333333333337,FY22,3yr ave (2019x2),FALSE
Canton,Sep,2.4844444444444447,18-20,1.4,1.0844444444444448,FY22,3yr ave (2019x2),FALSE
Chelsea,Apr,6.757777777777778,18-20,3,3.757777777777778,FY22,3yr ave (2019x2),FALSE
Chelsea,Aug,4.976666666666667,18-20,3,1.9766666666666666,FY22,3yr ave (2019x2),FALSE
Chelsea,Dec,6.544444444444445,18-20,3,3.544444444444445,FY22,3yr ave (2019x2),FALSE
Chelsea,Feb,5.928888888888889,18-20,3,2.9288888888888893,FY22,3yr ave (2019x2),FALSE
Chelsea,Jan,5.914444444444444,18-20,3,2.9144444444444444,FY22,3yr ave (2019x2),FALSE
Chelsea,Jul,5.233333333333333,18-20,3,2.2333333333333334,FY22,3yr ave (2019x2),FALSE
Chelsea,Jun,5.222222222222222,18-20,3,2.2222222222222223,FY22,3yr ave (2019x2),FALSE
Chelsea,Mar,6.935555555555555,18-20,3,3.9355555555555553,FY22,3yr ave (2019x2),FALSE
Chelsea,May,5.233333333333333,18-20,3,2.2333333333333334,FY22,3yr ave (2019x2),FALSE
Chelsea,Nov,6.982222222222223,18-20,3,3.982222222222223,FY22,3yr ave (2019x2),FALSE
Chelsea,Oct,5.484444444444444,18-20,3,2.484444444444444,FY22,3yr ave (2019x2),FALSE
Chelsea,Sep,4.87,18-20,3,1.87,FY22,3yr ave (2019x2),FALSE
Dedham,Apr,5.716666666666667,18-20,1.8,3.916666666666667,FY22,3yr ave (2019x2),FALSE
Dedham,Aug,2.6366666666666667,18-20,1.8,0.8366666666666667,FY22,3yr ave (2019x2),FALSE
Dedham,Dec,4.875555555555556,18-20,1.8,3.075555555555556,FY22,3yr ave (2019x2),FALSE
Dedham,Feb,4.85,18-20,1.8,3.05,FY22,3yr ave (2019x2),FALSE
Dedham,Jan,4.8133333333333335,18-20,1.8,3.0133333333333336,FY22,3yr ave (2019x2),FALSE
Dedham,Jul,2.7444444444444445,18-20,1.8,0.9444444444444444,FY22,3yr ave (2019x2),FALSE
Dedham,Jun,3.21,18-20,1.8,1.41,FY22,3yr ave (2019x2),FALSE
Dedham,Mar,5.774444444444445,18-20,1.8,3.974444444444445,FY22,3yr ave (2019x2),FALSE
Dedham,May,4.344444444444444,18-20,1.8,2.5444444444444443,FY22,3yr ave (2019x2),FALSE
Dedham,Nov,4.819999999999999,18-20,1.8,3.0199999999999996,FY22,3yr ave (2019x2),FALSE
Dedham,Oct,2.982222222222222,18-20,1.8,1.182222222222222,FY22,3yr ave (2019x2),FALSE
Dedham,Sep,2.54,18-20,1.8,0.74,FY22,3yr ave (2019x2),FALSE
Everett,Apr,6.8388888888888895,18-20,3.2,3.6388888888888893,FY22,3yr ave (2019x2),FALSE
Everett,Aug,5.697777777777778,18-20,3.2,2.4977777777777774,FY22,3yr ave (2019x2),FALSE
Everett,Dec,6.514444444444445,18-20,3.2,3.3144444444444447,FY22,3yr ave (2019x2),FALSE
