community,Sani_Q,II_Q,Assessment,max_month,max_MGD,FY,actual
Woburn,3.7,2.6244444444444444,6.3244444444444445,Apr,8.703333333333333,FY20,TRUE
Arlington,NA,NA,5.0575,Apr,7.626666666666667,FY21,TRUE
Ashland,NA,NA,1.3333333333333333,Apr,1.7166666666666666,FY21,TRUE
Bedford,NA,NA,2.6080555555555556,Apr,3.723333333333333,FY21,TRUE
Belmont,NA,NA,3.15,Apr,4.996666666666667,FY21,TRUE
Boston,NA,NA,94.48194444444445,Apr,118.67,FY21,TRUE
Braintree,NA,NA,7.627777777777778,Apr,10.816666666666666,FY21,TRUE
Brookline,NA,NA,8.664166666666667,Apr,13.086666666666666,FY21,TRUE
Burlington,NA,NA,3.765833333333333,Apr,5.26,FY21,TRUE
Cambridge,NA,NA,18.615277777777777,Apr,21.656666666666666,FY21,TRUE
Canton,NA,NA,3.176111111111111,Apr,4.203333333333333,FY21,TRUE
Chelsea,NA,NA,5.6925,Apr,6.943333333333333,FY21,TRUE
Dedham,NA,NA,4.012777777777778,Apr,5.99,FY21,TRUE
Everett,NA,NA,6.0625,Apr,7.176666666666668,FY21,TRUE
Framingham,NA,NA,7.3075,Apr,9.756666666666666,FY21,TRUE
Hingham,NA,NA,1.45,Apr,2.09,FY21,TRUE
Holbrook,NA,NA,0.9338888888888889,Apr,1.1966666666666665,FY21,TRUE
Lexington,NA,NA,5.341111111111111,Apr,8.373333333333335,FY21,TRUE
Malden,NA,NA,9.004444444444443,Apr,11.396666666666667,FY21,TRUE
Medford,NA,NA,7.837777777777778,Apr,11.076666666666666,FY21,TRUE
Melrose,NA,NA,4.5275,Apr,6.783333333333333,FY21,TRUE
Milton,NA,NA,3.5530555555555554,Apr,5.566666666666666,FY21,TRUE
Natick,NA,NA,2.973888888888889,Apr,4.113333333333333,FY21,TRUE
Needham,NA,NA,3.968611111111111,Apr,5.873333333333333,FY21,TRUE
Newton,NA,NA,15.304166666666667,Apr,23.78,FY21,TRUE
Norwood,NA,NA,6.332222222222223,Apr,8.813333333333333,FY21,TRUE
Quincy,NA,NA,13.943055555555556,Apr,18.076666666666664,FY21,TRUE
Randolph,NA,NA,3.9763888888888888,Mar,5.49,FY21,TRUE
Reading,NA,NA,3.1825,Apr,4.9366666666666665,FY21,TRUE
Revere,NA,NA,6.650833333333334,Apr,8.263333333333334,FY21,TRUE
Somerville,NA,NA,10.465,Apr,14.319999999999999,FY21,TRUE
Stoneham,NA,NA,3.286388888888889,Apr,4.6,FY21,TRUE
